fips_state,fips_county,countyname,statename,fips_statecounty,statecode
01,001,Autauga,Alabama,01001,AL
01,003,Baldwin,Alabama,01003,AL
01,005,Barbour,Alabama,01005,AL
01,007,Bibb,Alabama,01007,AL
01,009,Blount,Alabama,01009,AL
01,011,Bullock,Alabama,01011,AL
01,013,Butler,Alabama,01013,AL
01,015,Calhoun,Alabama,01015,AL
01,017,Chambers,Alabama,01017,AL
01,019,Cherokee,Alabama,01019,AL
01,021,Chilton,Alabama,01021,AL
01,023,Choctaw,Alabama,01023,AL
01,025,Clarke,Alabama,01025,AL
01,027,Clay,Alabama,01027,AL
01,029,Cleburne,Alabama,01029,AL
01,031,Coffee,Alabama,01031,AL
01,033,Colbert,Alabama,01033,AL
01,035,Conecuh,Alabama,01035,AL
01,037,Coosa,Alabama,01037,AL
01,039,Covington,Alabama,01039,AL
01,041,Crenshaw,Alabama,01041,AL
01,043,Cullman,Alabama,01043,AL
01,045,Dale,Alabama,01045,AL
01,047,Dallas,Alabama,01047,AL
01,049,DeKalb,Alabama,01049,AL
01,051,Elmore,Alabama,01051,AL
01,053,Escambia,Alabama,01053,AL
01,055,Etowah,Alabama,01055,AL
01,057,Fayette,Alabama,01057,AL
01,059,Franklin,Alabama,01059,AL
01,061,Geneva,Alabama,01061,AL
01,063,Greene,Alabama,01063,AL
01,065,Hale,Alabama,01065,AL
01,067,Henry,Alabama,01067,AL
01,069,Houston,Alabama,01069,AL
01,071,Jackson,Alabama,01071,AL
01,073,Jefferson,Alabama,01073,AL
01,075,Lamar,Alabama,01075,AL
01,077,Lauderdale,Alabama,01077,AL
01,079,Lawrence,Alabama,01079,AL
01,081,Lee,Alabama,01081,AL
01,083,Limestone,Alabama,01083,AL
01,085,Lowndes,Alabama,01085,AL
01,087,Macon,Alabama,01087,AL
01,089,Madison,Alabama,01089,AL
01,091,Marengo,Alabama,01091,AL
01,093,Marion,Alabama,01093,AL
01,095,Marshall,Alabama,01095,AL
01,097,Mobile,Alabama,01097,AL
01,099,Monroe,Alabama,01099,AL
01,101,Montgomery,Alabama,01101,AL
01,103,Morgan,Alabama,01103,AL
01,105,Perry,Alabama,01105,AL
01,107,Pickens,Alabama,01107,AL
01,109,Pike,Alabama,01109,AL
01,111,Randolph,Alabama,01111,AL
01,113,Russell,Alabama,01113,AL
01,115,St. Clair,Alabama,01115,AL
01,117,Shelby,Alabama,01117,AL
01,119,Sumter,Alabama,01119,AL
01,121,Talladega,Alabama,01121,AL
01,123,Tallapoosa,Alabama,01123,AL
01,125,Tuscaloosa,Alabama,01125,AL
